source,target,weight
2165241247,2766249500,1
196134777,121068845,1
858710047525928960,493432598,1
2991955251,705746188063084544,1
830438448,556159181,1
558140035,905702865120964608,1
2703077037,944092507486457856,1
862326791008071680,1964228874,1
3330139223,994579278,1
1964228874,391655679,1
2913929512,727508275453956096,1
2913929512,906114560922460161,1
46352298,935030000180514816,1
2982472295,942719391719940097,1
245037674,983020765,1
196134777,899034980634034180,1
2703077037,349037796,1
245037674,372977728,1
2982472295,862326791008071680,1
2991955251,97274223,1
882675697,2937759041,1
1334662188,906096255796961281,1
2231866127,870024835212218374,1
319639400,875267211866275840,1
319639400,886886839876976640,1
2913929512,3879369021,1
2800039531,902646541403521024,1
882675697,40845730,1
2165241247,2580496039,1
830438448,741316826022432769,1
2976169083,2830409785,1
337972171,948166326673203201,1
2991955251,305792266,1
123705679,919650797805293568,1
245037674,348443515,1
280124624,33898299,1
2948791281,22844335,1
2734975089,240586538,1
727508275453956096,317377091,1
2976169083,2382355750,1
882675697,876002363261296642,1
2231866127,722402789834563588,1
700639918339428353,51588583,1
627412337,1016048052,1
2913929512,2309064792,1
3879369021,937723479016779781,1
22844335,879436434821832704,1
22844335,856773467579928576,1
123705679,2318923303,1
3879369021,559789373,1
2800039531,2268938844,1
858710047525928960,1688274590,1
3064353419,78021408,1
2948791281,944140519407521792,1
14169092,947886560434884608,1
888999812082933760,385293664,1
337972171,944518070718140416,1
3064353419,2703077037,1
2165241247,902937494974431232,1
1014963092,882935733320900609,1
876286676,524245419,1
906114560922460161,22799864,1
445305950,3240388678,1
3064353419,932443819,1
245037674,39544206,1
2991955251,2549528592,1
2231866127,945033019546591234,1
2800039531,882280439062384641,1
3330139223,68141375,1
245037674,3030247869,1
558140035,931846158997245952,1
2549528592,451337709,1
3879369021,1675395830,1
337972171,809164718,1
2913929512,42724842,1
2734975089,807274780709847041,1
2800039531,754796125,1
2913929512,944115550799781888,1
226550182,945112008726282241,1
1334662188,485670791,1
2982472295,935959496945520641,1
558140035,2464137369,1
280124624,564885652,1
830438448,67149451,1
858710047525928960,43714895,1
2982472295,947315074393182208,1
196134777,3178063587,1
196134777,1509905275,1
1049004954,492988679,1
226550182,53911127,1
3330139223,1143126421,1
888999812082933760,943164318,1
245037674,707890484,1
2703077037,69831527,1
2982472295,3397339312,1
2703077037,940176296193208322,1
2573661345,846287329195167746,1
2991955251,700639918339428353,1
2573661345,895003567114924032,1
2991955251,4157800461,1
830438448,61464083,1
786644755,887605840265478144,1
14169092,947636811182018561,1
2991955251,245037674,1
2913929512,946470578814365696,1
727508275453956096,727693202052943873,1
858710047525928960,871834807092875264,1
196134777,924497213463715841,1
1964228874,251601495,1
123705679,4777974285,1
727508275453956096,168563924,1
830438448,5429882,1
2913929512,123705679,1
876286676,2986442350,1
3330139223,221483128,1
1014963092,928253792436539392,1
445305950,3298430024,1
2703077037,26111618,1
2982472295,2187170106,1
786644755,2452647805,1
627412337,926824304477487104,1
558140035,1080361890,1
319639400,857184929771171844,1
319639400,825517716736004097,1
499793772,712196624458653696,1
858710047525928960,227303148,1
2231866127,938039479344025600,1
1334662188,331225266,1
2991955251,76760140,1
2549528592,2922224044,1
280124624,926407364303114242,1
445305950,1640339306,1
46352298,101791651,1
2703077037,947138075779649537,1
226550182,275947721,1
1964228874,809159998710415361,1
2231866127,2792645067,1
627412337,127540711,1
3064353419,1394717658,1
46352298,914927599666769921,1
2991955251,58185031,1
2165241247,939244464522059776,1
3064353419,876286676,1
445305950,939082710018076673,1
882675697,900734466682998785,1
1049004954,907898676718264320,1
1334662188,887271053650796544,1
1334662188,931846158997245952,1
627412337,818912651476684800,1
724160358181642240,4195418153,1
2231866127,926559947936206848,1
280124624,822121474777550848,1
280124624,7879202,1
280124624,822821000127594497,1
2549528592,923146143378354176,1
2549528592,937667844954886144,1
2549528592,784829401804529665,1
2991955251,550510477,1
2948791281,909787062949183488,1
1014963092,21360280,1
14169092,947986544069144577,1
3330139223,457712086,1
2913929512,904959977739177984,1
858710047525928960,841025022680547328,1
906114560922460161,898203414986928128,1
3879369021,784316810204033024,1
2165241247,946231049574592512,1
727508275453956096,23905528,1
3064353419,2614934260,1
22844335,219602399,1
2573661345,464989762,1
